VersionNumber,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,62.0,62.0,62.0,31.0,62.0,62.0,62.0,31.0,1,2,0,False
0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,100.0,100.0,100.0,50.0,100.0,100.0,100.0,50.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,211.0,215.0,211.0,53.75,218.0,212.0,211.0,53.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,257.0,259.0,257.0,86.333336,261.0,257.0,257.0,85.666664,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,147.0,151.0,147.0,37.75,154.0,148.0,147.0,37.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,50.0,51.0,50.0,17.0,51.0,51.0,50.0,17.0,1,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,603.0,612.0,603.0,204.0,627.0,609.0,603.0,203.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,873.0,900.0,873.0,128.57143,954.0,906.0,873.0,129.42857,3,7,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,52.0,59.0,52.0,19.666666,64.0,54.0,52.0,18.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,58.0,58.0,58.0,29.0,58.0,58.0,58.0,29.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,158.0,158.0,158.0,79.0,158.0,158.0,158.0,79.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,61.0,61.0,61.0,20.333334,65.0,65.0,61.0,21.666666,1,3,0,False
