@relation bookkeeper_training_5

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
137,235,137,58.75,333,139,137,34.75,2,4,0,'False'
244,332,244,66.4,428,254,244,50.8,2,5,0,'False'
1026,1727,1026,123.35714,1947,1507,1026,107.64286,3,14,0,'True'
92,132,92,44.0,161,103,92,34.333332,3,3,0,'True'
180,207,180,51.75,222,192,180,48.0,2,4,0,'False'
471,617,471,68.55556,779,535,471,59.444443,3,9,0,'True'
204,290,204,58.0,296,284,204,56.8,3,5,0,'True'
551,636,551,90.85714,706,572,551,81.71429,3,7,0,'True'
149,184,149,36.8,203,165,149,33.0,3,5,0,'True'
157,170,157,56.666668,177,163,157,54.333332,3,3,0,'True'
147,147,147,147.0,147,147,147,147.0,1,1,0,'False'
137,280,137,56.0,412,152,137,30.4,3,5,0,'True'
271,302,271,75.5,311,293,271,73.25,3,4,0,'False'
548,1178,548,130.88889,1670,686,548,76.22222,3,9,0,'True'
728,945,728,157.5,1148,896,728,149.33333,2,6,0,'True'
205,213,205,53.25,220,206,205,51.5,2,4,0,'True'
50,53,50,26.5,56,50,50,25.0,2,2,0,'False'
185,208,185,41.6,230,186,185,37.2,3,5,0,'True'
61,66,61,22.0,71,61,61,20.333334,3,3,0,'True'
157,200,157,25.0,253,171,157,21.375,3,8,0,'True'
81,93,81,23.25,104,82,81,20.5,3,4,0,'True'
84,134,84,44.666668,183,85,84,28.333334,2,3,0,'False'
762,1677,762,139.75,2377,985,762,82.083336,3,12,0,'True'
248,338,248,48.285713,378,302,248,43.142857,3,7,0,'True'
169,261,169,29.0,324,200,169,22.222221,3,9,0,'True'
196,242,196,40.333332,270,214,196,35.666668,3,6,0,'True'
67,76,67,19.0,85,67,67,16.75,3,4,0,'False'
165,209,165,52.25,226,192,165,48.0,3,4,0,'True'
173,196,173,49.0,216,176,173,44.0,3,4,0,'True'
103,129,103,21.5,153,109,103,18.166666,2,6,0,'True'
78,78,78,78.0,78,78,78,78.0,1,1,0,'True'
87,88,87,44.0,89,87,87,43.5,2,2,0,'True'
85,86,85,43.0,87,85,85,42.5,2,2,0,'False'
105,150,105,75.0,151,149,105,74.5,1,2,0,'True'
216,224,216,56.0,232,216,216,54.0,2,4,0,'True'
377,397,377,99.25,417,377,377,94.25,2,4,0,'True'
253,257,253,128.5,259,255,253,127.5,1,2,0,'True'
193,193,193,193.0,193,193,193,193.0,1,1,0,'True'
514,514,514,514.0,514,514,514,514.0,1,1,0,'True'
204,204,204,204.0,204,204,204,204.0,1,1,0,'False'
144,144,144,144.0,144,144,144,144.0,1,1,0,'True'
98,98,98,98.0,98,98,98,98.0,1,1,0,'False'
181,206,181,29.428572,228,192,181,27.428572,3,7,0,'True'
154,241,154,60.25,249,233,154,58.25,3,4,0,'True'
393,673,393,61.18182,769,583,393,53.0,3,11,0,'True'
132,214,132,71.333336,221,207,132,69.0,3,3,0,'False'
533,568,533,71.0,591,547,533,68.375,3,8,0,'True'
603,713,603,79.22222,793,637,603,70.77778,3,9,0,'True'
148,148,148,148.0,148,148,148,148.0,1,1,0,'True'
174,185,174,61.666668,195,175,174,58.333332,2,3,0,'False'
148,159,148,53.0,169,149,148,49.666668,2,3,0,'False'
92,163,92,27.166666,905,771,675,128.5,3,6,0,'False'
234,463,234,77.166664,667,259,234,43.166668,3,6,0,'True'
54,59,54,19.666666,64,54,54,18.0,3,3,0,'False'
38,43,38,21.5,48,38,38,19.0,2,2,0,'True'
98,102,98,51.0,106,98,98,49.0,2,2,0,'True'
39,50,39,16.666666,60,40,39,13.333333,2,3,0,'False'
69,73,69,24.333334,102,94,69,31.333334,3,3,0,'True'
94,94,94,94.0,94,94,94,94.0,1,1,0,'True'
72,72,72,72.0,72,72,72,72.0,1,1,0,'False'
42,42,42,42.0,42,42,42,42.0,1,1,0,'False'
48,56,48,18.666666,64,48,48,16.0,2,3,0,'False'
63,67,63,33.5,71,63,63,31.5,2,2,0,'True'
237,257,237,128.5,277,237,237,118.5,2,2,0,'True'
133,139,133,46.333332,145,133,133,44.333332,2,3,0,'True'
137,151,137,37.75,164,138,137,34.5,2,4,0,'True'
177,182,177,60.666668,186,178,177,59.333332,2,3,0,'True'
46,47,46,23.5,48,46,46,23.0,2,2,0,'False'
128,138,128,27.6,147,129,128,25.8,3,5,0,'False'
149,153,149,51.0,156,150,149,50.0,2,3,0,'False'
58,59,58,29.5,60,58,58,29.0,2,2,0,'False'
149,152,149,76.0,155,149,149,74.5,2,2,0,'True'
74,78,74,39.0,82,74,74,37.0,2,2,0,'False'
37,37,37,37.0,37,37,37,37.0,1,1,0,'False'
38,40,38,20.0,42,38,38,19.0,2,2,0,'False'
39,40,39,20.0,41,39,39,19.5,2,2,0,'False'
96,108,96,27.0,119,97,96,24.25,2,4,0,'True'
88,92,88,30.666666,95,89,88,29.666666,2,3,0,'False'
71,79,71,19.75,86,72,71,18.0,2,4,0,'False'
114,124,114,31.0,133,115,114,28.75,2,4,0,'False'
336,421,336,70.166664,499,343,336,57.166668,3,6,0,'True'
84,94,84,23.5,103,85,84,21.25,2,4,0,'False'
58,63,58,21.0,68,58,58,19.333334,2,3,0,'False'
123,131,123,32.75,138,124,123,31.0,2,4,0,'True'
369,369,369,369.0,369,369,369,369.0,1,1,0,'True'
231,250,231,50.0,262,238,231,47.6,2,5,0,'True'
586,646,586,161.5,705,587,586,146.75,2,4,0,'True'
366,391,366,78.2,415,367,366,73.4,2,5,0,'True'
99,109,99,27.25,118,100,99,25.0,2,4,0,'True'
