@relation bookkeeper_training_2

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
137.0,235.0,137.0,58.75,333.0,139.0,137.0,34.75,2,4,0,False
244.0,332.0,244.0,66.4,428.0,254.0,244.0,50.8,2,5,0,False
1026.0,1727.0,1026.0,123.35714,1947.0,1507.0,1026.0,107.64286,3,14,0,True
92.0,132.0,92.0,44.0,161.0,103.0,92.0,34.333332,3,3,0,True
180.0,207.0,180.0,51.75,222.0,192.0,180.0,48.0,2,4,0,False
471.0,617.0,471.0,68.55556,779.0,535.0,471.0,59.444443,3,9,0,True
204.0,290.0,204.0,58.0,296.0,284.0,204.0,56.8,3,5,0,True
551.0,636.0,551.0,90.85714,706.0,572.0,551.0,81.71429,3,7,0,True
149.0,184.0,149.0,36.8,203.0,165.0,149.0,33.0,3,5,0,True
157.0,170.0,157.0,56.666668,177.0,163.0,157.0,54.333332,3,3,0,True
147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,1,1,0,False
137.0,280.0,137.0,56.0,412.0,152.0,137.0,30.4,3,5,0,True
271.0,302.0,271.0,75.5,311.0,293.0,271.0,73.25,3,4,0,False
548.0,1178.0,548.0,130.88889,1670.0,686.0,548.0,76.22222,3,9,0,True
728.0,945.0,728.0,157.5,1148.0,896.0,728.0,149.33333,2,6,0,True
205.0,213.0,205.0,53.25,220.0,206.0,205.0,51.5,2,4,0,True
50.0,53.0,50.0,26.5,56.0,50.0,50.0,25.0,2,2,0,False
185.0,208.0,185.0,41.6,230.0,186.0,185.0,37.2,3,5,0,True
61.0,66.0,61.0,22.0,71.0,61.0,61.0,20.333334,3,3,0,True
157.0,200.0,157.0,25.0,253.0,171.0,157.0,21.375,3,8,0,True
81.0,93.0,81.0,23.25,104.0,82.0,81.0,20.5,3,4,0,True
84.0,134.0,84.0,44.666668,183.0,85.0,84.0,28.333334,2,3,0,False
762.0,1677.0,762.0,139.75,2377.0,985.0,762.0,82.083336,3,12,0,True
248.0,338.0,248.0,48.285713,378.0,302.0,248.0,43.142857,3,7,0,True
169.0,261.0,169.0,29.0,324.0,200.0,169.0,22.222221,3,9,0,True
196.0,242.0,196.0,40.333332,270.0,214.0,196.0,35.666668,3,6,0,True
67.0,76.0,67.0,19.0,85.0,67.0,67.0,16.75,3,4,0,False
165.0,209.0,165.0,52.25,226.0,192.0,165.0,48.0,3,4,0,True
173.0,196.0,173.0,49.0,216.0,176.0,173.0,44.0,3,4,0,True
103.0,129.0,103.0,21.5,153.0,109.0,103.0,18.166666,2,6,0,True
78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,1,1,0,True
87.0,88.0,87.0,44.0,89.0,87.0,87.0,43.5,2,2,0,True
85.0,86.0,85.0,43.0,87.0,85.0,85.0,42.5,2,2,0,False
105.0,150.0,105.0,75.0,151.0,149.0,105.0,74.5,1,2,0,True
216.0,224.0,216.0,56.0,232.0,216.0,216.0,54.0,2,4,0,True
377.0,397.0,377.0,99.25,417.0,377.0,377.0,94.25,2,4,0,True
253.0,257.0,253.0,128.5,259.0,255.0,253.0,127.5,1,2,0,True
193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,1,1,0,True
514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,1,1,0,True
204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,1,1,0,False
144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,1,1,0,True
98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,1,1,0,False
181.0,206.0,181.0,29.428572,228.0,192.0,181.0,27.428572,3,7,0,True
154.0,241.0,154.0,60.25,249.0,233.0,154.0,58.25,3,4,0,True
393.0,673.0,393.0,61.18182,769.0,583.0,393.0,53.0,3,11,0,True
132.0,214.0,132.0,71.333336,221.0,207.0,132.0,69.0,3,3,0,False
533.0,568.0,533.0,71.0,591.0,547.0,533.0,68.375,3,8,0,True
603.0,713.0,603.0,79.22222,793.0,637.0,603.0,70.77778,3,9,0,True
148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,1,1,0,True
174.0,185.0,174.0,61.666668,195.0,175.0,174.0,58.333332,2,3,0,False
148.0,159.0,148.0,53.0,169.0,149.0,148.0,49.666668,2,3,0,False
92.0,163.0,92.0,27.166666,905.0,771.0,675.0,128.5,3,6,0,False
234.0,463.0,234.0,77.166664,667.0,259.0,234.0,43.166668,3,6,0,True
54.0,59.0,54.0,19.666666,64.0,54.0,54.0,18.0,3,3,0,False
38.0,43.0,38.0,21.5,48.0,38.0,38.0,19.0,2,2,0,True
98.0,102.0,98.0,51.0,106.0,98.0,98.0,49.0,2,2,0,True
39.0,50.0,39.0,16.666666,60.0,40.0,39.0,13.333333,2,3,0,False
69.0,73.0,69.0,24.333334,102.0,94.0,69.0,31.333334,3,3,0,True
94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,1,1,0,True
72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,1,1,0,False
42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,1,1,0,False
48.0,56.0,48.0,18.666666,64.0,48.0,48.0,16.0,2,3,0,False
63.0,67.0,63.0,33.5,71.0,63.0,63.0,31.5,2,2,0,True
237.0,257.0,237.0,128.5,277.0,237.0,237.0,118.5,2,2,0,True
133.0,139.0,133.0,46.333332,145.0,133.0,133.0,44.333332,2,3,0,True
137.0,151.0,137.0,37.75,164.0,138.0,137.0,34.5,2,4,0,True
177.0,182.0,177.0,60.666668,186.0,178.0,177.0,59.333332,2,3,0,True
46.0,47.0,46.0,23.5,48.0,46.0,46.0,23.0,2,2,0,False
128.0,138.0,128.0,27.6,147.0,129.0,128.0,25.8,3,5,0,False
149.0,153.0,149.0,51.0,156.0,150.0,149.0,50.0,2,3,0,False
58.0,59.0,58.0,29.5,60.0,58.0,58.0,29.0,2,2,0,False
149.0,152.0,149.0,76.0,155.0,149.0,149.0,74.5,2,2,0,True
74.0,78.0,74.0,39.0,82.0,74.0,74.0,37.0,2,2,0,False
37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1,1,0,False
38.0,40.0,38.0,20.0,42.0,38.0,38.0,19.0,2,2,0,False
39.0,40.0,39.0,20.0,41.0,39.0,39.0,19.5,2,2,0,False
96.0,108.0,96.0,27.0,119.0,97.0,96.0,24.25,2,4,0,True
88.0,92.0,88.0,30.666666,95.0,89.0,88.0,29.666666,2,3,0,False
71.0,79.0,71.0,19.75,86.0,72.0,71.0,18.0,2,4,0,False
114.0,124.0,114.0,31.0,133.0,115.0,114.0,28.75,2,4,0,False
336.0,421.0,336.0,70.166664,499.0,343.0,336.0,57.166668,3,6,0,True
84.0,94.0,84.0,23.5,103.0,85.0,84.0,21.25,2,4,0,False
58.0,63.0,58.0,21.0,68.0,58.0,58.0,19.333334,2,3,0,False
123.0,131.0,123.0,32.75,138.0,124.0,123.0,31.0,2,4,0,True
369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,1,1,0,True
231.0,250.0,231.0,50.0,262.0,238.0,231.0,47.6,2,5,0,True
586.0,646.0,586.0,161.5,705.0,587.0,586.0,146.75,2,4,0,True
366.0,391.0,366.0,78.2,415.0,367.0,366.0,73.4,2,5,0,True
99.0,109.0,99.0,27.25,118.0,100.0,99.0,25.0,2,4,0,True
41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1,1,0,False
66.0,80.0,66.0,40.0,93.0,67.0,66.0,33.5,2,2,0,False
54.0,64.0,54.0,21.333334,65.0,63.0,54.0,21.0,3,3,0,False
47.0,51.0,47.0,25.5,55.0,47.0,47.0,23.5,2,2,0,False
183.0,201.0,183.0,50.25,221.0,185.0,183.0,46.25,3,4,0,False
49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1,1,0,False
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1,1,0,False
98.0,101.0,98.0,50.5,103.0,99.0,98.0,49.5,2,2,0,False
138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,1,1,0,False
